W,H,X,Y
8.10000000000002,11.1,442.2,352.9
13.0999999999999,13.1,724.2,215.9
7.10000000000002,10.1,441.2,349.9
12.1,11.1,438.2,342.9
12.1,8.10000000000002,436.2,339.9
14.1,8.10000000000002,431.2,335.9
10.1,9.10000000000002,432.2,335.9
11.1,14.1,431.2,333.9
8.10000000000002,9.10000000000002,430.2,334.9
9.10000000000002,8.10000000000002,426.2,334.9
11.1,9.10000000000002,424.2,337.9
10.1,8.10000000000002,422.2,339.9
15.0999999999999,15.1,726.2,201.9
10.1,7.10000000000002,419.2,336.9
11.1,9.10000000000002,418.2,334.9
15.1,11.1,414.2,333.9
13.1,12.1,413.2,332.9
9.10000000000002,10.1,413.2,332.9
12.1,11.1,411.2,333.9
11.1,11.1,408.2,332.9
11.1,8.10000000000002,408.2,334.9
11.1,10.1,407.2,333.9
11.1,9.10000000000002,405.2,332.9
15.0999999999999,13.1,666.2,274.9
13.0999999999999,13.1,729.2,189.9
14.1,9.10000000000002,403.2,330.9
11.1,10.1,403.2,330.9
11.1,9.10000000000002,404.2,330.9
11.1,11.1,404.2,330.9
12.1,9.10000000000002,404.2,330.9
12.1,11.1,405.2,330.9
14.1,11.1,404.2,328.9
12.1,10.1,408.2,329.9
10.1,11.1,408.2,329.9
10.1,12.1,408.2,328.9
12.0999999999999,14.1,730.2,181.9
12.1,10.1,408.2,330.9
11.1,12.1,408.2,329.9
13.1,10.1,407.2,329.9
13.1,12.1,408.2,328.9
13.1,11.1,407.2,329.9
10.1,12.1,411.2,329.9
13.1,11.1,408.2,329.9
11.1,13.1,409.2,328.9
14.1,11.1,407.2,329.9
14.1,12.1,408.2,328.9
13.0999999999999,15.1,729.2,179.9
11.1,13.1,409.2,328.9
12.1,13.1,409.2,328.9
14.1,11.1,407.2,329.9
13.1,12.1,409.2,328.9
14.1,13.1,408.2,329.9
13.1,10.1,408.2,330.9
13.1,14.1,408.2,328.9
11.1,11.1,410.2,328.9
15.1,11.1,407.2,329.9
13.1,10.1,408.2,330.9
13.0999999999999,16.1,730.2,172.9
15.1,10.1,406.2,330.9
15.1,10.1,407.2,330.9
14.1,10.1,407.2,330.9
14.1,13.1,407.2,328.9
13.1,13.1,408.2,328.9
12.1,14.1,408.2,327.9
15.1,10.1,408.2,331.9
15.1,9.10000000000002,408.2,330.9
13.1,9.10000000000002,408.2,331.9
14.1,8.10000000000002,408.2,331.9
15.0999999999999,13.1,730.2,169.9
14.1,11.1,407.2,329.9
12.1,11.1,409.2,330.9
13.1,8.10000000000002,408.2,331.9
15.1,11.1,407.2,331.9
15.1,13.1,407.2,329.9
17.1,14.1,407.2,328.9
11.1,11.1,410.2,329.9
16.1,13.1,407.2,329.9
9.10000000000002,11.1,411.2,329.9
12.1,13.1,409.2,329.9
14.0999999999999,17.1,733.2,164.9
10.1,10.1,410.2,330.9
11.1,10.1,409.2,330.9
14.1,11.1,408.2,330.9
15.0999999999999,13.1,733.2,166.9
14.0999999999999,15.1,735.2,163.9
12.0999999999999,17.1,657.2,385.9
12.0999999999999,20.1,666.2,361.9
11.0999999999999,16.1,670.2,340.9
12.0999999999999,15.1,670.2,340.9
12.0999999999999,11.1,671.2,325.9
11.0999999999999,13.1,671.2,314.9
11.0999999999999,11.1,672.2,304.9
9.09999999999991,12.1,674.2,295.9
14.0999999999999,14.1,735.2,165.9
11.0999999999999,14.1,673.2,288.9
14.0999999999999,12.1,672.2,289.9
13.0999999999999,13.1,673.2,285.9
12.0999999999999,14.1,674.2,283.9
13.0999999999999,12.1,674.2,282.9
11.0999999999999,13.1,675.2,284.9
13.0999999999999,15.1,675.2,286.9
12.0999999999999,13.1,675.2,285.9
9.09999999999991,11.1,677.2,290.9
12.0999999999999,12.1,674.2,294.9
13.0999999999999,13.1,736.2,167.9
12.0999999999999,11.1,677.2,303.9
10.0999999999999,12.1,677.2,311.9
12.0999999999999,11.1,676.2,321.9
14.0999999999999,12.1,675.2,321.9
13.0999999999999,13.1,676.2,331.9
14.0999999999999,12.1,676.2,342.9
15.0999999999999,11.1,664.2,351.9
14.0999999999999,23.1,707.2,285.9
12.0999999999999,13.1,669.2,276.9
19.0999999999999,45.1,729.2,175.9
10.0999999999999,27.1,722.2,246.9
10.0999999999999,23.1,710.2,295.9
